id,material,name ,band ,clearanceFeeExport,priceImport,clearanceFee,priceFull,type,priceExport,note
93315,[28415000] я—жг«  √ќ— жЋд«∆н я—жг«  √ќ—? жЁжё «бя—жг« .,я—жг«  √ќ— жЋд«∆н я—жг«  √ќ—? жЁжё «бя—жг« .,28415000,2,10,3,13,ж“д,0,
93316,[28416100] »—гдџд«  «б»ж «”нжг.,»—гдџд«  «б»ж «”нжг.,28416100,2,10,3,13,ж“д,0,
93317,"[28416900] гдџдн « ? гдџд«  ""Manganates"" жЁжё «бгдџд«  (»—гдџд« ) Џѕ« (»—гдџд«  «б»ж «”нжг)","гдџдн « ? гдџд«  ""Manganates"" жЁжё «бгдџд«  (»—гдџд« ) Џѕ« (»—гдџд«  «б»ж «”нжг)",28416900,2,10,3,13,ж“д,0,
93318,[28417000] гжбн»ѕ« .,гжбн»ѕ« .,28417000,2,10,3,13,ж“д,0,
93319,"[28418000]  дџ” «  (жжбЁ—«г«   ""Wolframates"")."," дџ” «  (жжбЁ—«г«   ""Wolframates"").",28418000,2,10,3,13,ж“д,0,
93320,[28419000] √гб«Ќ √Ќг«÷ «б√жя”н гЏѕдн… √жЁжё «б√жя”н гЏѕдн…. (џ г ”)\,√гб«Ќ √Ќг«÷ «б√жя”н гЏѕдн… √жЁжё «б√жя”н гЏѕдн…. (џ г ”)\,28419000,2,10,3,13,ж“д,0,
93321,[28421000] ”нбня«  г“ѕжћ… √ж г—я»…? »г« Ён –бя «б√бгндж”нбя«  ”ж«Ѕ я«д  гЌѕѕ… «б’Ё«  янг«жн«р √г б«,”нбня«  г“ѕжћ… √ж г—я»…? »г« Ён –бя «б√бгндж”нбя«  ”ж«Ѕ я«д  гЌѕѕ… «б’Ё«  янг«жн«р √г б«,28421000,2,10,3,13,ж“д,0,
93322,[28429000] √гб«Ќ √ќ— гд √Ќг«÷ џн— Џ÷жн… √ж Ёжё √я«”нѕ √Ќг«÷ џн— Џ÷жн…  Џѕ« «б√“нѕ«  (џ г ”),√гб«Ќ √ќ— гд √Ќг«÷ џн— Џ÷жн… √ж Ёжё √я«”нѕ √Ќг«÷ џн— Џ÷жн…  Џѕ« «б√“нѕ«  (џ г ”),28429000,2,10,3,13,ж“д,0,
93323,[28431000] гЏ«ѕд Ћгнд… џ—жн…,гЏ«ѕд Ћгнд… џ—жн…,28431000,2,10,3,13,ж“д,0,
93324,[28432100] д —«  «бЁ÷… (¬“ж «  «бЁ÷…).,д —«  «бЁ÷… (¬“ж «  «бЁ÷…).,28432100,2,10,3,13,ж“д,0,
93325,[28432900] г—я»«  «бЁ÷… Џѕ« (д —«  «бЁ÷…).,г—я»«  «бЁ÷… Џѕ« (д —«  «бЁ÷…).,28432900,2,10,3,13,ж“д,0,
93326,[28433000] г—я»«  «б–е».,г—я»«  «б–е».,28433000,2,10,3,13,ж“д,0,
93327,[28439000] гЏ«ѕд Ћгнд… џ—жн…? г—я»«  гд гЏ«ѕд Ћгнд…? гбџг«  гЏ«ѕд Ћгнд… (џ г ”),гЏ«ѕд Ћгнд… џ—жн…? г—я»«  гд гЏ«ѕд Ћгнд…? гбџг«  гЏ«ѕд Ћгнд… (џ г ”),28439000,2,10,3,13,ж“д,0,
93328,"[28441000] нж—«днжг Ў»нЏн жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ«  ќ“Ён…жгќ«бнЎ,гЌ жн…Џбм нж—«днжг Ў»нЏн..","нж—«днжг Ў»нЏн жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ«  ќ“Ён…жгќ«бнЎ,гЌ жн…Џбм нж—«днжг Ў»нЏн..",28441000,2,10,3,13,ж“д,0,
93329,"[28442000] нж—«днжг џдн »Џд’— нж—«днжг (U235) жг—я»« е; »бж жднг жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ«  ..","нж—«днжг џдн »Џд’— нж—«днжг (U235) жг—я»« е; »бж жднг жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ«  ..",28442000,2,750,250,1000,ж“д,0,
93330,"[28443000] нж—«днжг гќЁЁ Ёне Џд’—нж—«днжг(U235)жг—я»« е ;Ћж—нжг жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ« ..","нж—«днжг гќЁЁ Ёне Џд’—нж—«днжг(U235)жг—я»« е ;Ћж—нжг жг—я»« е;ќб«∆Ў ж »ѕѕ« ,гд ћ« ..",28443000,2,750,250,1000,ж“д,0,
93357,"[29012400] »ж « 1,3 ѕннд ж≈н“ж»—нд.","»ж « 1,3 ѕннд ж≈н“ж»—нд.",29012400,2,20,7,27,ж“д,0,
93331,"[28444100]  —н нжг жг—я»« е жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”—гн "")° гд ћ«  ќ“Ён… жќб«∆Ў гЌ жн… Џбм «б —н нжг √ж г—я»« е."," —н нжг жг—я»« е жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”—гн "")° гд ћ«  ќ“Ён… жќб«∆Ў гЌ жн… Џбм «б —н нжг √ж г—я»« е.",28444100,2,750,250,1000,ж“д,0,
93332,"[28444200] √я нднжг-225° √я нднжг-227° я«бнЁж—днжг-253° яж—нжг-240° яж—нжг-241° яж—нжг-242° яж—нжг-243° яж—нжг-244° √дн‘н нднжг-253° √дн‘н нднжг-254° џ«ѕжбнднжг-148° »жбжднжг-208° »жбжднжг-209° »жбжднжг-210° —«ѕнжг-233° √ж—«днжг-230° √ж—«днжг-232 жг—я»« е«° жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”н—гн "")° гд ћ«  ќ“Ён… жгќ«бнЎ гЌ жн… Џбм е–е «бЏд«’— √ж г—я»« е«.","√я нднжг-225° √я нднжг-227° я«бнЁж—днжг-253° яж—нжг-240° яж—нжг-241° яж—нжг-242° яж—нжг-243° яж—нжг-244° √дн‘н нднжг-253° √дн‘н нднжг-254° џ«ѕжбнднжг-148° »жбжднжг-208° »жбжднжг-209° »жбжднжг-210° —«ѕнжг-233° √ж—«днжг-230° √ж—«днжг-232 жг—я»« е«° жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”н—гн "")° гд ћ«  ќ“Ён… жгќ«бнЎ гЌ жн… Џбм е–е «бЏд«’— √ж г—я»« е«.",28444200,2,750,250,1000,ж“д,0,
93333,"[28444300] Џд«’— янг«жн… г‘Џ… ждў«∆— жг—я»«  г‘Џ… √ќ—м° жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”—гн "")° гд ћ«  ќ“Ён… жќб«∆Ў гЌ жн… Џбм е–е «бЏд«’— √ж «бдў«∆— √ж «бг—я»« .","Џд«’— янг«жн… г‘Џ… ждў«∆— жг—я»«  г‘Џ… √ќ—м° жќб«∆Ў ж »ѕѕ«  (»г« Ён –бя «бќб«∆Ў «бгЏѕдн… «бќ“Ён… ""”—гн "")° гд ћ«  ќ“Ён… жќб«∆Ў гЌ жн… Џбм е–е «бЏд«’— √ж «бдў«∆— √ж «бг—я»« .",28444300,2,750,250,1000,ж“д,0,
93334,[28444400] »ё«н« г‘Џ….,»ё«н« г‘Џ….,28444400,2,750,250,1000,ж“д,0,
93335,[28445000] Џд«’— жёжѕ (ќ—«Ўн‘) г” ебя… (г‘ЏЏ…) «” Џгб  Ён «бгЁ«Џб«  «бджжн….,Џд«’— жёжѕ (ќ—«Ўн‘) г” ебя… (г‘ЏЏ…) «” Џгб  Ён «бгЁ«Џб«  «бджжн….,28445000,2,750,250,1000,ж“д,0,
93336,[28451000] г«Ѕ Ћёнб (√жя”нѕ «бѕн н—нжг).,г«Ѕ Ћёнб (√жя”нѕ «бѕн н—нжг).,28451000,2,750,250,1000,ж“д,0,
93337,[28452000] »ж—жд гќ’» »«б»ж—жд-10 жг—я»« е«.,»ж—жд гќ’» »«б»ж—жд-10 жг—я»« е«.,28452000,2,750,250,1000,ж“д,0,
93338,[28453000] бнЋнжг гќ’» »«ббнЋнжг-6 жг—я»« е«.,бнЋнжг гќ’» »«ббнЋнжг-6 жг—я»« е«.,28453000,2,750,250,1000,ж“д,0,
93339,[28454000] енбнжг-3.,енбнжг-3.,28454000,2,10,3,13,ж“д,0,
93340,"[28459000] дў«∆— ""Isotopes"" Џѕ« «бѕ«ќб… Ён «б»дѕ 28.44? жг—я»« е« (џ г ”)","дў«∆— ""Isotopes"" Џѕ« «бѕ«ќб… Ён «б»дѕ 28.44? жг—я»« е« (џ г ”)",28459000,2,750,250,1000,ж“д,0,
93341,[28461000] г—я»«  «б”н—нжг.,г—я»«  «б”н—нжг.,28461000,2,10,3,13,ж“д,0,
93342,[28469000] г—я»«  гд гЏ«ѕд «б√ —»… «бд«ѕ—… √ж гд «б≈н —нжг √ж «б”я«дѕнжг ... Џѕ« (г—я»«  «б”н—нжг),г—я»«  гд гЏ«ѕд «б√ —»… «бд«ѕ—… √ж гд «б≈н —нжг √ж «б”я«дѕнжг ... Џѕ« (г—я»«  «б”н—нжг),28469000,2,10,3,13,ж“д,0,
93343,[28470000] Ёжё √жя”нѕ «бенѕ—жћнд (г«Ѕ √жя”ћндн) ж≈д я«д гё”шм »«б»жб… («бнж—н«).,Ёжё √жя”нѕ «бенѕ—жћнд (г«Ѕ √жя”ћндн) ж≈д я«д гё”шм »«б»жб… («бнж—н«).,28470000,2,10,3,13,ж“д,0,
93344,"[28480000] Ёж”Ёж—« °  ж ≈д я«д  гЌѕѕ…  √ж џн— гЌѕѕ… «б’Ё«  янг«жн«р ? »«” Ћд«Ѕ Ёж”Ёж—«  «бЌѕнѕ","Ёж”Ёж—« °  ж ≈д я«д  гЌѕѕ…  √ж џн— гЌѕѕ… «б’Ё«  янг«жн«р ? »«” Ћд«Ѕ Ёж”Ёж—«  «бЌѕнѕ",28480000,2,10,3,13,ж“д,0,
93345,[28491000] я—»нѕ «бя«б”нжг.,я—»нѕ «бя«б”нжг.,28491000,2,10,3,13,ж“д,0,
93346,[28492000] я—»нѕ «б”нбняжд.,я—»нѕ «б”нбняжд.,28492000,2,10,3,13,ж“д,0,
93347,[28499000] я—»нѕ« ? ж≈д я«д  гЌѕѕ… √ж џн— гЌѕѕ… «б’Ё«  «бянг«жн… Џѕ« (я—»нѕ «бя«б”нжг ж«б”нбняжд).,я—»нѕ« ? ж≈д я«д  гЌѕѕ… √ж џн— гЌѕѕ… «б’Ё«  «бянг«жн… Џѕ« (я—»нѕ «бя«б”нжг ж«б”нбняжд).,28499000,2,10,3,13,ж“д,0,
93348,"[28500000] енѕ—нѕ« ? дн —нѕ« ? √“нѕ« ? ”нбн”нѕ« ? »ж—нѕ«  ""Borids""? .... «бќ.","енѕ—нѕ« ? дн —нѕ« ? √“нѕ« ? ”нбн”нѕ« ? »ж—нѕ«  ""Borids""? .... «бќ.",28500000,2,10,3,13,ж“д,0,
93349,[28521000] гЌѕѕ… «б’Ё«  янг«жн«,гЌѕѕ… «б’Ё«  янг«жн«,28521000,2,10,3,13,ж“д,0,
93350,[28529000] џн—е«,џн—е«,28529000,2,10,3,13,ж“д,0,
93351,[28531000] ябж— «б”н«джћнд (ябж— «б”н«д).,ябж— «б”н«джћнд (ябж— «б”н«д).,28531000,2,10,3,13,ж“д,0,
93352,[28539000] џн—е«,џн—е«,28539000,2,10,3,13,ж“д,0,
93353,[29011000] енѕ—жя—»жд«  б«ѕж—н… г‘»Џ…,енѕ—жя—»жд«  б«ѕж—н… г‘»Џ…,29011000,2,20,7,27,ж“д,0,
93354,[29012100] ≈нЋнбнд.,≈нЋнбнд.,29012100,2,20,7,27,ж“д,0,
93355,[29012200] »—ж»нд (»—ж»нбнд).,»—ж»нд (»—ж»нбнд).,29012200,2,20,7,27,ж“д,0,
93356,[29012300] »ж нд (»ж нбнд) ж≈н“жгн—« е.,»ж нд (»ж нбнд) ж≈н“жгн—« е.,29012300,2,20,7,27,ж“д,0,
93358,[29012900] енѕ—жя—»жд«  б«ѕж—н…џн—г‘»Џ…(џ г ”),енѕ—жя—»жд«  б«ѕж—н…џн—г‘»Џ…(џ г ”),29012900,2,20,7,27,ж“д,0,
93359,[29021100] ”нябженя”«д,”нябженя”«д,29021100,2,20,7,27,ж“д,0,
93360,"[29021900] енѕ—жя—»жд«  ѕж—н… (Ќбён…) ”няб«дн…° ”нябндн…° ”нябндн…° Џѕ« («б”нябженя”«д)","енѕ—жя—»жд«  ѕж—н… (Ќбён…) ”няб«дн…° ”нябндн…° ”нябндн…° Џѕ« («б”нябженя”«д)",29021900,2,20,7,27,ж“д,0,
93361,[29022000] »д“д,»д“д,29022000,2,20,7,27,ж“д,0,
93362,[29023000]  жбжнд, жбжнд,29023000,2,20,7,27,ж“д,0,
93363,[29024100] √ж—Ћж- “нбнд (√ж— жя”«нбнд),√ж—Ћж- “нбнд (√ж— жя”«нбнд),29024100,2,20,7,27,ж“д,0,
93364,[29024200] гн «- “нбнд (гн «я”«нбнд),гн «- “нбнд (гн «я”«нбнд),29024200,2,20,7,27,ж“д,0,
93365,[29024300] »«—«- “нбнд (»«—«я”«нбнд),»«—«- “нбнд (»«—«я”«нбнд),29024300,2,20,7,27,ж“д,0,
93366,[29024400] ≈н“жгн—«   “нбнд («бя”«нбнд) «бгќбжЎ…,≈н“жгн—«   “нбнд («бя”«нбнд) «бгќбжЎ…,29024400,2,20,7,27,ж“д,0,
93367,[29025000] ” н—нд,” н—нд,29025000,2,20,7,27,ж“д,0,
93368,[29026000] ≈нЋнб »д“нд,≈нЋнб »д“нд,29026000,2,20,7,27,ж“д,0,
93369,[29027000] яжгнд,яжгнд,29027000,2,20,7,27,ж“д,0,
93370,[29029000] енѕ—жя—»жд«  ѕж—н… (Ќбён…) (џ г ”),енѕ—жя—»жд«  ѕж—н… (Ќбён…) (џ г ”),29029000,2,20,7,27,ж“д,0,
93371,[29031100] ябж—жгнЋ«д (гнЋнб ябж—«нѕ) жябж—ж«нЋ«д («нЋнб ябж—«нѕ).,ябж—жгнЋ«д (гнЋнб ябж—«нѕ) жябж—ж«нЋ«д («нЋнб ябж—«нѕ).,29031100,2,20,7,27,ж“д,0,
93372,[29031200] Ћд«∆н ябж—жгнЋ«д (гнЋнбнд ябж—«нѕ).,Ћд«∆н ябж—жгнЋ«д (гнЋнбнд ябж—«нѕ).,29031200,2,20,7,27,ж“д,0,
93373,[29031300] ябж—жЁж—г (Ћб«Ћн ябж—жгнЋ«д).,ябж—жЁж—г (Ћб«Ћн ябж—жгнЋ«д).,29031300,2,20,7,27,ж“д,0,
93374,[29031400] —»«Џн ябж—нѕ «бя—»жд (—»«Џн ябж—ж я—»жд).,—»«Џн ябж—нѕ «бя—»жд (—»«Џн ябж—ж я—»жд).,29031400,2,20,7,27,ж“д,0,
93375,[29031500] Ћд«∆н ябж—«нѕ «б«нЋнбнд ( ISO )  ш(1.2 -Ћд«∆н ябж— «б«н «д),Ћд«∆н ябж—«нѕ «б«нЋнбнд ( ISO )  ш(1.2 -Ћд«∆н ябж— «б«н «д),29031500,2,20,7,27,ж“д,0,
93376,[29031900] г‘ ё«  «бенѕ—жя—»жд«  џн— «бѕж—н…(б« Ќбён…) «бябж—н… «бг‘»Џ…(џ г ”),г‘ ё«  «бенѕ—жя—»жд«  џн— «бѕж—н…(б« Ќбён…) «бябж—н… «бг‘»Џ…(џ г ”),29031900,2,40,13,53,ж“д,0,
93377,[29032100] ябж—нѕ «бЁнднб (ябж—ж«нЋнбнд).,ябж—нѕ «бЁнднб (ябж—ж«нЋнбнд).,29032100,2,20,7,27,ж“д,0,
93378,[29032200] Ћб«Ћн ябж—ж«нЋнбнд.,Ћб«Ћн ябж—ж«нЋнбнд.,29032200,2,20,7,27,ж“д,0,
93379,[29032300] —»«Џн ябж—ж«нЋнбнд (»—ябж—ж«нЋнбнд).,—»«Џн ябж—ж«нЋнбнд (»—ябж—ж«нЋнбнд).,29032300,2,20,7,27,ж“д,0,
93380,"[29032900] г‘ ё«  ябж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…), (џ г ”)","г‘ ё«  ябж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…), (џ г ”)",29032900,2,20,7,27,ж“д,0,
93381,[29034100] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ћб«Ћн Ёбж—жгн «д (HFC-23).,г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ћб«Ћн Ёбж—жгн «д (HFC-23).,29034100,2,40,13,53,ж“д,0,
93382,[29034200] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ћд«∆н Ёбж—жгн «д (HFC-32).,г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ћд«∆н Ёбж—жгн «д (HFC-32).,29034200,2,40,13,53,ж“д,0,
93383,"[29034300] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ёбж— «бгн «д (»Ёбж—нѕ «бгнЋнб) (HFC-41)° жЋд«∆н Ёбж—ж«нЋ«д-1.2 (HFC-152)° жЋд«∆н Ёбж—ж«нЋ«д-1.1 (HFC-152-a).","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):Ёбж— «бгн «д (»Ёбж—нѕ «бгнЋнб) (HFC-41)° жЋд«∆н Ёбж—ж«нЋ«д-1.2 (HFC-152)° жЋд«∆н Ёбж—ж«нЋ«д-1.1 (HFC-152-a).",29034300,2,375,125,500,ж“д,0,
93384,"[29034400] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж«н «д (HFC-152)° жЋб«Ћн Ёбж—ж«н «д-1.1.1 (HFC-143-a)° жЋб«Ћн Ёбж—ж«н «д-1.2.2 (HFC-143).","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж«н «д (HFC-152)° жЋб«Ћн Ёбж—ж«н «д-1.1.1 (HFC-143-a)° жЋб«Ћн Ёбж—ж«н «д-1.2.2 (HFC-143).",29034400,2,375,125,500,ж“д,0,
93385,"[29034500] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):—»«Џн Ёбж—ж«н «д-1.1.1.2 (HFC-134a)° ж—»«Џн Ёбж—ж«н «д-1.1.2.2 (HFC-134).","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):—»«Џн Ёбж—ж«н «д-1.1.1.2 (HFC-134a)° ж—»«Џн Ёбж—ж«н «д-1.1.2.2 (HFC-134).",29034500,2,40,13,53,ж“д,0,
93409,[29039100] ябж— »д“нд . «ж—ЋжЋд«∆н ябж— ж»д“нд ж»«—« Ћд«∆н ябж— ж»д“нд,ябж— »д“нд . «ж—ЋжЋд«∆н ябж— ж»д“нд ж»«—« Ћд«∆н ябж— ж»д“нд,29039100,2,20,7,27,ж“д,0,
93441,"[29054500] џбн”—нд ""glycerol""","џбн”—нд ""glycerol""",29054500,2,20,7,27,ж“д,0,
93386,"[29034600] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):”»«Џн Ёбж—ж»—ж»«д-1.1.1.2.3.3.3 (HFC-227ea)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.2.2.3 (HFC-236cb)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.2.3.3 (HFC-236ea)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.3.3.3 (HFC-236fa).
","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):”»«Џн Ёбж—ж»—ж»«д-1.1.1.2.3.3.3 (HFC-227ea)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.2.2.3 (HFC-236cb)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.2.3.3 (HFC-236ea)° ж
”ѕ«”н Ёбж—ж»—ж»«д-1.1.1.3.3.3 (HFC-236fa).
",29034600,2,40,13,53,ж“д,0,
93387,"[29034700] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж»—ж»«д-1.1.1.3.3 (HFC-245fa)° ж
ќг«”н Ёбж—ж»—ж»«д-1.1.2.2.3 (HFC-245ca).
","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж»—ж»«д-1.1.1.3.3 (HFC-245fa)° ж
ќг«”н Ёбж—ж»—ж»«д-1.1.2.2.3 (HFC-245ca).
",29034700,2,40,13,53,ж“д,0,
93388,"[29034800] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж»ж «д-1.1.1.3.3 (HFC-365mac)° ж
Џ«‘— Ёбж—ж»д «д-1.1.1.2.2.3.4.5.5.5 (HFC-43-10mee).","г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):ќг«”н Ёбж—ж»ж «д-1.1.1.3.3 (HFC-365mac)° ж
Џ«‘— Ёбж—ж»д «д-1.1.1.2.2.3.4.5.5.5 (HFC-43-10mee).",29034800,2,40,13,53,ж“д,0,
93389,[29034900] г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):џн—е«.,г‘ ё«  Ёбж—н… г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):џн—е«.,29034900,2,40,13,53,ж“д,0,
93390,"[29035100] г‘ ё«  Ёбж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):—»«Џн Ёбж—ж»—ж»нд-2.3.3.3 (HFO-1234yf)° ж
—»«Џн Ёбж—ж»—ж»нд-1.3.3.3 (HFO-1234ze)° ж
”ѕ«”н Ёбж—ж2»ж нд-1.1.1.4.4.4 (Z) (HFO-1336mzz).
","г‘ ё«  Ёбж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):—»«Џн Ёбж—ж»—ж»нд-2.3.3.3 (HFO-1234yf)° ж
—»«Џн Ёбж—ж»—ж»нд-1.3.3.3 (HFO-1234ze)° ж
”ѕ«”н Ёбж—ж2»ж нд-1.1.1.4.4.4 (Z) (HFO-1336mzz).
",29035100,2,40,13,53,ж“д,0,
93391,[29035900] г‘ ё«  Ёбж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):џн—е«.,г‘ ё«  Ёбж—н… џн— г‘»Џ… гд енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…):џн—е«.,29035900,2,40,13,53,ж“д,0,
93392,[29036100] г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:»—жгнѕ «бгн нб (»—жгжгн «д).,г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:»—жгнѕ «бгн нб (»—жгжгн «д).,29036100,2,40,13,53,ж“д,0,
93393,[29036200] г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:Ћд«∆н »—жгнѕ «б≈н нб (ISO )(Ћд«∆н »—жгжгн «д-1.2) ,г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:Ћд«∆н »—жгнѕ «б≈н нб (ISO )(Ћд«∆н »—жгжгн «д-1.2) ,29036200,2,40,13,53,ж“д,0,
93394,[29036900] г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:џн—е«.,г‘ ё«  енѕ—жя—»жд«  б« ѕж—н… (б« Ќбён…) Ёбж—н… √ж »—жгн… «ж нжѕн…:џн—е«.,29036900,2,40,13,53,ж“д,0,
93395,[29037100] Ћд«∆н ябж— Ёбж—жгн «д. (HCFC-22).,Ћд«∆н ябж— Ёбж—жгн «д. (HCFC-22).,29037100,2,40,13,53,ж“д,0,
93396,[29037200] Ћд«∆н ябж— ж Ћб«Ћн Ёбж—ж«н «д. (HCFC-123).,Ћд«∆н ябж— ж Ћб«Ћн Ёбж—ж«н «д. (HCFC-123).,29037200,2,40,13,53,ж“д,0,
93397,"[29037300] Ћд«∆н ябж— Ёбж—ж«н «д. (HCFC-141,141b).","Ћд«∆н ябж— Ёбж—ж«н «д. (HCFC-141,141b).",29037300,2,40,13,53,ж“д,0,
93398,"[29037400] Ћд«∆н ябж— Ёбж—ж≈н «д (HCFC-142,142b).","Ћд«∆н ябж— Ёбж—ж≈н «д (HCFC-142,142b).",29037400,2,40,13,53,ж“д,0,
93399,"[29037500] Ћд«∆н ябж— ж ќг«”н Ёбж—ж »—ж»«д (HCFC-225,225ca,225cb).","Ћд«∆н ябж— ж ќг«”н Ёбж—ж »—ж»«д (HCFC-225,225ca,225cb).",29037500,2,40,13,53,ж“д,0,
93400,"[29037600] »—жгжябж—Ћд«∆н Ёбж—жгн «д ж»—жгж(Halon-1211)° ж
»—жгж Ћб«Ћн Ёбж—жгн «д жЋд«∆н(Halon-1301)° ж
Ћд«∆н »—жгж—»«Џн Ёбж—ж«б≈н «д. (Halon-2402).
","»—жгжябж—Ћд«∆н Ёбж—жгн «д ж»—жгж(Halon-1211)° ж
»—жгж Ћб«Ћн Ёбж—жгн «д жЋд«∆н(Halon-1301)° ж
Ћд«∆н »—жгж—»«Џн Ёбж—ж«б≈н «д. (Halon-2402).
",29037600,2,40,13,53,ж“д,0,
93401,"[29037700] џн—е« ,Ёжё гебћд… ЁёЎ гЏ «бЁбж—нд ж«бябж—нд","џн—е« ,Ёжё гебћд… ЁёЎ гЏ «бЁбж—нд ж«бябж—нд",29037700,2,40,13,53,ж“д,0,
93402,[29037800] г‘ ё«  √ќ— Ёжё гебћд…,г‘ ё«  √ќ— Ёжё гебћд…,29037800,2,40,13,53,ж“д,0,
93403,[29037910] џн—е«,гж«ѕ √жбн… (Ћд«∆н ябж— Ёбж—ж≈н «д 20),29037910,2,40,13,53,ж“д,0,
93404,[29037990] џн—е«,џн—е«,29037990,2,375,125,500,ж“д,0,
93405,"[29038100] 6.5.4.3.2.1  ”ѕ«”н ябж— ”няжен”я«д «бѕж—н («бЌбён ) ( ISO)  ( HCH ) »г« Ён –бя бндѕ«д  LINDAN"" ISO .INN","6.5.4.3.2.1  ”ѕ«”н ябж— ”няжен”я«д «бѕж—н («бЌбён ) ( ISO)  ( HCH ) »г« Ён –бя бндѕ«д  LINDAN"" ISO .INN",29038100,2,40,13,53,ж“д,0,
